cabinet_id,phone_number,address,locality,state,postcode,latitude,longitude,fnn,phone_attributes,source
02926902X2,0292690657,496 GEORGE ST,SYDNEY,NSW,2000,-33.871967,151.207041,,,Tasmania Government LIST Telstra Payphones layer
02926904X2,0292690661,580 GEORGE ST,SYDNEY,NSW,2000,-33.875067,151.206689,,,Tasmania Government LIST Telstra Payphones layer
02926906X2,0292690676,690 GEORGE ST,SYDNEY,NSW,2000,-33.877105,151.205977,,,Tasmania Government LIST Telstra Payphones layer
02926907X2,0292690670,555 GEORGE ST,SYDNEY,NSW,2000,-33.876061,151.206247,,,Tasmania Government LIST Telstra Payphones layer
02926910X2,0292690673,131 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.870857,151.209468,,,Tasmania Government LIST Telstra Payphones layer
02926911X2,0292690674,1 PARK ST,SYDNEY,NSW,2000,-33.873086,151.207405,,,Tasmania Government LIST Telstra Payphones layer
02926914X2,0292690680,275 PITT ST,SYDNEY,NSW,2000,-33.872602,151.208082,,,Tasmania Government LIST Telstra Payphones layer
02926920X2,0292690693,187 LIVERPOOL ST,SYDNEY,NSW,2000,-33.876932,151.211938,,,Tasmania Government LIST Telstra Payphones layer
02926923X2,0292690697,544 GEORGE ST,SYDNEY,NSW,2000,-33.872638,151.207055,,,Tasmania Government LIST Telstra Payphones layer
02926925X2,0292690634,60 PARK ST,SYDNEY,NSW,2000,-33.873213,151.209776,,,Tasmania Government LIST Telstra Payphones layer
02927927X2,0292792189,46 MARKET ST,SYDNEY,NSW,2000,-33.870781,151.206502,,,Tasmania Government LIST Telstra Payphones layer
02927929X2,0448760293,295 GEORGE ST,SYDNEY,NSW,2000,-33.86664,151.207187,,,Tasmania Government LIST Telstra Payphones layer
02927931X2,0292792254,275 KENT ST,SYDNEY,NSW,2000,-33.865589,151.20423,,,Tasmania Government LIST Telstra Payphones layer
02927933X2,0292792342,374 KENT ST,SYDNEY,NSW,2000,-33.870776,151.204898,,,Tasmania Government LIST Telstra Payphones layer
02927934X2,0292792416,77 YORK ST,SYDNEY,NSW,2000,-33.868778,151.206021,,,Tasmania Government LIST Telstra Payphones layer
02927937X2,0292792563,ERSKINE ST,SYDNEY,NSW,2000,-33.866634,151.205157,,,Tasmania Government LIST Telstra Payphones layer
02927939X2,0292792754,4 YORK ST,SYDNEY,NSW,2000,-33.867049,151.205856,,,Tasmania Government LIST Telstra Payphones layer
02927940X2,0436027794,60 MARGARET ST,SYDNEY,NSW,2000,-33.865037,151.207033,,,Tasmania Government LIST Telstra Payphones layer
02928021X2,0292802335,2 MURRAY ST,SYDNEY,NSW,2000,-33.870285,151.198793,,,Tasmania Government LIST Telstra Payphones layer
02928143X7,0292996891,31 WHEAT RD,SYDNEY,NSW,2000,-33.873039,151.20168,,,Tasmania Government LIST Telstra Payphones layer
02928300X2,0292831427,PARK ST,SYDNEY,NSW,2000,-33.87336,151.210034,,,Tasmania Government LIST Telstra Payphones layer
02928301X2,0292831428,LIVERPOOL ST,SYDNEY,NSW,2000,-33.876768,151.209762,,,Tasmania Government LIST Telstra Payphones layer
02928311X2,0292835145,97 BATHURST ST,SYDNEY,NSW,2000,-33.874304,151.206145,,,Tasmania Government LIST Telstra Payphones layer
02928317X2,0292835763,263 CLARENCE ST,SYDNEY,NSW,2000,-33.871974,151.205559,,,Tasmania Government LIST Telstra Payphones layer
02928319X2,0292835717,131 YORK ST,SYDNEY,NSW,2000,-33.872269,151.206371,,,Tasmania Government LIST Telstra Payphones layer
02928330X2,0292831429,120 ELIZABETH ST,SYDNEY,NSW,2000,-33.872976,151.210112,,,Tasmania Government LIST Telstra Payphones layer
02928331X2,0292831442,118 ELIZABETH ST,SYDNEY,NSW,2000,-33.870779,151.210284,,,Tasmania Government LIST Telstra Payphones layer
02928340X2,0292831583,89 MARKET ST,SYDNEY,NSW,2000,-33.87078,151.20999,,,Tasmania Government LIST Telstra Payphones layer
02928343X2,0292833127,320 PITT ST,SYDNEY,NSW,2000,-33.87563,151.207967,,,Tasmania Government LIST Telstra Payphones layer
02928344X2,0292833149,320 PITT ST,SYDNEY,NSW,2000,-33.87563,151.207967,,,Tasmania Government LIST Telstra Payphones layer
02928347X2,0292831807,143 LIVERPOOL ST,SYDNEY,NSW,2000,-33.87693,151.20919,,,Tasmania Government LIST Telstra Payphones layer
02928355X2,0292836241,455 GEORGE ST,SYDNEY,NSW,2000,-33.87186,151.20681,,,Tasmania Government LIST Telstra Payphones layer
02928358X2,0292836051,93 BATHURST ST,SYDNEY,NSW,2000,-33.874236,151.205572,,,Tasmania Government LIST Telstra Payphones layer
02929005X2,0292903361,83 CLARENCE ST,SYDNEY,NSW,2000,-33.865373,151.204875,,,Tasmania Government LIST Telstra Payphones layer
02929006X2,0292903491,379 KENT ST,SYDNEY,NSW,2000,-33.869888,151.204654,,,Tasmania Government LIST Telstra Payphones layer
02929007X2,0292902282,241 WHEAT RD,SYDNEY,NSW,2000,-33.870954,151.202565,,,Tasmania Government LIST Telstra Payphones layer
02929903X2,0292996847,9 BARRACK ST,SYDNEY,NSW,2000,-33.867714,151.206029,,,Tasmania Government LIST Telstra Payphones layer
02929904X1,0292996134,20 CARRINGTON ST,SYDNEY,NSW,2000,-33.86571,151.206325,,,Tasmania Government LIST Telstra Payphones layer
02929904X2,0292992262,2 CARRINGTON ST,SYDNEY,NSW,2000,-33.865218,151.206495,,,Tasmania Government LIST Telstra Payphones layer
02929906X2,0292996838,21 BARRACK ST,SYDNEY,NSW,2000,-33.867694,151.20706,,,Tasmania Government LIST Telstra Payphones layer
02929909X2,0292992247,74 SUSSEX ST,SYDNEY,NSW,2000,-33.866687,151.203475,,,Tasmania Government LIST Telstra Payphones layer
02929913X2,0436018574,42 MARGARET ST,SYDNEY,NSW,2000,-33.865289,151.205678,,,Tasmania Government LIST Telstra Payphones layer
02929914X2,0428942901,37 YORK ST,SYDNEY,NSW,2000,-33.866556,151.205551,,,Tasmania Government LIST Telstra Payphones layer
02929915X2,0292994347,101 YORK ST,SYDNEY,NSW,2000,-33.870521,151.206236,,,Tasmania Government LIST Telstra Payphones layer
02929916X2,0292996837,21 BARRACK ST,SYDNEY,NSW,2000,-33.867694,151.20706,,,Tasmania Government LIST Telstra Payphones layer
02929918X2,0292996842,9 BARRACK ST,SYDNEY,NSW,2000,-33.867714,151.206029,,,Tasmania Government LIST Telstra Payphones layer
02925146X2,0292512418,1 PLAYFAIR ST,THE ROCKS,NSW,2000,-33.857778,151.20895,,,Tasmania Government LIST Telstra Payphones layer
02925212X2,0292522485,16 ARGYLE ST,THE ROCKS,NSW,2000,-33.85901,151.20799,,,Tasmania Government LIST Telstra Payphones layer
02925213X2,0292522486,102 GEORGE ST,THE ROCKS,NSW,2000,-33.85823,151.209129,,,Tasmania Government LIST Telstra Payphones layer
02925262X2,0292529429,39 ARGYLE ST,THE ROCKS,NSW,2000,-33.859052,151.207834,,,Tasmania Government LIST Telstra Payphones layer
02921107X2,0448060104,15 BROADWAY,ULTIMO,NSW,2007,-33.884094,151.200678,,,Tasmania Government LIST Telstra Payphones layer
