id,phone_number,address
07553708X2,0755373060,"144 BAYVIEW ST NR LAE DVE, RUNAWAY BAY"
07556380X2,0755638501,"8 BAYVIEW ST OS NO 8, RUNAWAY BAY"
02668252X2,0266825064,"0 BEECH ST OS CARAVAN PARK, EVANS HEAD"
03643112X2,0364313660,"62 BASS HWY OSBOURNE ST, COOEE"
03624404X2,0362441741,"40 BASS ST , WARRANE"
03942927X2,0394293302,"30 BENDIGO ST , RICHMOND"
03543680X2,0354368203,"1 BENDIGO-PYRAMID RD NR SERPENTINE RD, DINGEE"
03502570X2,0350257200,"5 BENETOOK AVE POST OFFICE, KOORLONG"
03958902X2,0395896008,"470 BEACH RD OS SHOPS, BEAUMARIS"
03586510X2,0358651200,"24 BEEK ST NR POST OFFICE, KATAMATITE"
07334409X2,0733442539,"953 BEENLEIGH RD CNR DATURA ST, RUNCORN"
03512704X2,0351271784,"2 BARWICK PL NR WIRRAWAY ST, MOE"
07467751X2,0746775204,"0 BARWON HWY OS POST OFFICE, TOOBEAH"
