 , SUB_ADDR_TYP_CDE, SUB_ADDR_NR, ADD_ADDR_INFO, STREET_NR, STREET_NME, STREET_TYP_CDE, LOCALITY_NAME, STATE,Indigineous Sites, POST_CDE, ABS_AREA, SITE_LAT, SITE_LONGIT, payphones_at_site, NEAREST_PAYPHONE, DRV_PRIME_PROD_CDE, tty    ,  
02429601X1,,,WARILLA GROVE SHOP,43,SHELLHARBOUR,RD,WARILLA,NSW,,2528,Warilla,-34.547065,150.862917,1,02429702X1 .079 km,MPP1,,
02429601X2,,,OS POST OFFICE,18,ADDISON,ST,SHELLHARBOUR,NSW,,2529,Shellharbour,-34.578952,150.867999,1,02429605X2 1.486 km,MPP1W,,
02429602X1,,,SHELLHARBOUR HOSPI,15,MADIGAN,BLV,OAK FLATS,NSW,,2529,Oak Flats,-34.559454,150.841167,1,02429500X1 .042 km,MPP1W,TTY,
02429605X2,,,OS SURFRIDER V/PK,50,JUNCTION,RD,BARRACK POINT,NSW,,2528,Barrack Point,-34.565608,150.867014,1,02429711X2 .723 km,MPP1W,,
02429702X1,,,WARILLA GROVE SHOP,43,SHELLHARBOUR,RD,WARILLA,NSW,,2528,Warilla,-34.546908,150.863762,1,02429601X1 .079 km,MPP1,,
02429703X1,,,WARILLA GROVE SHOP,43,SHELLHARBOUR,RD,WARILLA,NSW,,2528,Warilla,-34.546389,150.862469,1,02429601X1 .085 km,MPP1,,
02429705X2,,,NR BRIAN AVE,2,GEORGE,ST,WARILLA,NSW,,2528,Warilla,-34.55257,150.860651,1,02429601X1 .646 km,MPP1,,
02429710X2,,,OS SHOPS,74,ADDISON,AVE,LAKE ILLAWARRA,NSW,,2528,Lake Illawarra,-34.541465,150.857166,1,02429722X2 .605 km,MPP1W,,
02429711X2,,,CNR LAGOONS ST,211,SHELLHARBOUR,RD,BARRACK HEIGHTS,NSW,,2528,Barrack Heights,-34.562168,150.860305,1,02429605X2 .723 km,MPP1W,,
02429713X1,,,RWS SHELLHARBOUR J,0,PIPER,DRV,DUNMORE,NSW,,2529,Dunmore (NSW),-34.591265,150.844796,1,02429601X2 2.527 km,MPP1W,,
02429716X2,,,NR ACACIA ST OS PO,223,WINDANG,RD,WINDANG,NSW,,2528,Windang,-34.531468,150.869055,1,02429710X2 1.556 km,MPP1,,
02429722X2,,,CNR KING ST,25,QUEEN,ST,LAKE ILLAWARRA,NSW,,2528,Lake Illawarra,-34.546665,150.855189,1,02429710X2 .605 km,MPP1W,,
02432301X2,BLDG,,MENTAL HEALTH,60,HOLDEN,ST,GOSFORD,NSW,,2250,Gosford,-33.4205,151.33945,1,02432332X2 .073 km,MPP1W,,
02432306X2,,,MALL OPP KIBBLE PK,11,WILLIAM,ST,GOSFORD,NSW,,2250,Gosford,-33.42619,151.342731,1,02432334X2 .049 km,MPP1W,,
02432308X2,,,O/S SPRINGFIELD SC,136,WELLS,ST,SPRINGFIELD,NSW,,2250,Springfield (Central Coast - NSW),-33.43196,151.36443,1,02432324X2 1.099 km,MPP1W,,
02432314X2,,,,4,WATT,ST,GOSFORD,NSW,,2250,Gosford,-33.424225,151.343555,1,02432320X7 .158 km,MPP1W,,
02432320X7,,,GOSFORD RWLY STN,38,SHOWGROUND,RD,GOSFORD,NSW,,2250,Gosford,-33.4236,151.34202,1,02432335X7 .027 km,MPP1W,,
02432321X7,PLATFM,2,GOSFORD RWLY STN,38,SHOWGROUND,RD,GOSFORD,NSW,,2250,Gosford,-33.423638,151.341601,1,02432335X7 .031 km,MPP1,,
02432323X7,,,RAIL BUS INTCHNG,0,BURNS,CRS,GOSFORD,NSW,,2250,Gosford,-33.42284,151.34204,1,02432335X7 .067 km,MPP1,,
02432324X2,,,,30,ADELAIDE,ST,EAST GOSFORD,NSW,,2250,East Gosford,-33.437969,151.355015,1,02432327X2 .145 km,MPP1W,,
02432325X2,,,CNR WARRAWILLA RD,127,MAIDENS BRUSH,RD,WYOMING,NSW,,2250,Wyoming,-33.409427,151.364234,1,02432906X2 1.209 km,MPP1W,,
02432326X2,,,CNR BATLEY ST,27,RACECOURSE,RD,GOSFORD,NSW,,2250,Gosford,-33.420009,151.335861,1,02432332X2 .286 km,MPP1W,,
